Navn;Stasjon;Tid(norsk normaltid);Snødybde
Folgefonna Skisenter;SN49085;01.10.2015;0
Folgefonna Skisenter;SN49085;02.10.2015;0
Folgefonna Skisenter;SN49085;03.10.2015;0
Folgefonna Skisenter;SN49085;04.10.2015;0
Folgefonna Skisenter;SN49085;05.10.2015;0
Folgefonna Skisenter;SN49085;06.10.2015;0
Folgefonna Skisenter;SN49085;07.10.2015;0
Folgefonna Skisenter;SN49085;08.10.2015;0
Folgefonna Skisenter;SN49085;09.10.2015;0
Folgefonna Skisenter;SN49085;10.10.2015;0
Folgefonna Skisenter;SN49085;11.10.2015;0
Folgefonna Skisenter;SN49085;12.10.2015;0
Folgefonna Skisenter;SN49085;13.10.2015;0
Folgefonna Skisenter;SN49085;14.10.2015;0
Folgefonna Skisenter;SN49085;15.10.2015;0
Folgefonna Skisenter;SN49085;16.10.2015;0
Folgefonna Skisenter;SN49085;17.10.2015;0
Folgefonna Skisenter;SN49085;18.10.2015;0
Folgefonna Skisenter;SN49085;19.10.2015;0
Folgefonna Skisenter;SN49085;20.10.2015;0
Folgefonna Skisenter;SN49085;21.10.2015;3
Folgefonna Skisenter;SN49085;22.10.2015;0
Folgefonna Skisenter;SN49085;23.10.2015;0
Folgefonna Skisenter;SN49085;24.10.2015;0
Folgefonna Skisenter;SN49085;25.10.2015;26
Folgefonna Skisenter;SN49085;26.10.2015;48
Folgefonna Skisenter;SN49085;27.10.2015;43
Folgefonna Skisenter;SN49085;28.10.2015;39
Folgefonna Skisenter;SN49085;29.10.2015;38
Folgefonna Skisenter;SN49085;30.10.2015;30
Folgefonna Skisenter;SN49085;31.10.2015;5
Folgefonna Skisenter;SN49085;01.11.2015;0
Folgefonna Skisenter;SN49085;02.11.2015;0
Folgefonna Skisenter;SN49085;03.11.2015;0
Folgefonna Skisenter;SN49085;04.11.2015;0
Folgefonna Skisenter;SN49085;05.11.2015;0
Folgefonna Skisenter;SN49085;06.11.2015;0
Folgefonna Skisenter;SN49085;07.11.2015;0
Folgefonna Skisenter;SN49085;08.11.2015;3
Folgefonna Skisenter;SN49085;09.11.2015;5
Folgefonna Skisenter;SN49085;10.11.2015;48
Folgefonna Skisenter;SN49085;11.11.2015;57
Folgefonna Skisenter;SN49085;12.11.2015;74
Folgefonna Skisenter;SN49085;13.11.2015;82
Folgefonna Skisenter;SN49085;14.11.2015;127
Folgefonna Skisenter;SN49085;15.11.2015;163
Folgefonna Skisenter;SN49085;16.11.2015;161
Folgefonna Skisenter;SN49085;17.11.2015;165
Folgefonna Skisenter;SN49085;18.11.2015;172
Folgefonna Skisenter;SN49085;19.11.2015;169
Folgefonna Skisenter;SN49085;20.11.2015;166
Folgefonna Skisenter;SN49085;21.11.2015;163
Folgefonna Skisenter;SN49085;22.11.2015;161
Folgefonna Skisenter;SN49085;23.11.2015;160
Folgefonna Skisenter;SN49085;24.11.2015;160
Folgefonna Skisenter;SN49085;25.11.2015;163
Folgefonna Skisenter;SN49085;26.11.2015;167
Folgefonna Skisenter;SN49085;27.11.2015;155
Folgefonna Skisenter;SN49085;28.11.2015;180
Folgefonna Skisenter;SN49085;29.11.2015;166
Folgefonna Skisenter;SN49085;30.11.2015;212
Folgefonna Skisenter;SN49085;01.12.2015;234
Folgefonna Skisenter;SN49085;02.12.2015;208
Folgefonna Skisenter;SN49085;03.12.2015;196
Folgefonna Skisenter;SN49085;04.12.2015;193
Folgefonna Skisenter;SN49085;05.12.2015;211
Folgefonna Skisenter;SN49085;06.12.2015;228
Folgefonna Skisenter;SN49085;07.12.2015;205
Folgefonna Skisenter;SN49085;08.12.2015;198
Folgefonna Skisenter;SN49085;09.12.2015;212
Folgefonna Skisenter;SN49085;10.12.2015;228
Folgefonna Skisenter;SN49085;11.12.2015;228
Folgefonna Skisenter;SN49085;12.12.2015;246
Folgefonna Skisenter;SN49085;13.12.2015;243
Folgefonna Skisenter;SN49085;14.12.2015;240
Folgefonna Skisenter;SN49085;15.12.2015;241
Folgefonna Skisenter;SN49085;16.12.2015;239
Folgefonna Skisenter;SN49085;17.12.2015;232
Folgefonna Skisenter;SN49085;18.12.2015;216
Folgefonna Skisenter;SN49085;19.12.2015;214
Folgefonna Skisenter;SN49085;20.12.2015;204
Folgefonna Skisenter;SN49085;21.12.2015;223
Folgefonna Skisenter;SN49085;22.12.2015;240
Folgefonna Skisenter;SN49085;23.12.2015;250
Folgefonna Skisenter;SN49085;24.12.2015;255
Folgefonna Skisenter;SN49085;25.12.2015;267
Folgefonna Skisenter;SN49085;26.12.2015;268
Folgefonna Skisenter;SN49085;28.12.2015;245
Folgefonna Skisenter;SN49085;29.12.2015;242
Folgefonna Skisenter;SN49085;30.12.2015;242
Folgefonna Skisenter;SN49085;31.12.2015;241
Folgefonna Skisenter;SN49085;02.01.2016;240
Folgefonna Skisenter;SN49085;15.01.2016;244
Folgefonna Skisenter;SN49085;16.01.2016;261
Folgefonna Skisenter;SN49085;17.01.2016;239
Folgefonna Skisenter;SN49085;18.01.2016;240
Folgefonna Skisenter;SN49085;19.01.2016;242
Folgefonna Skisenter;SN49085;20.01.2016;248
Folgefonna Skisenter;SN49085;21.01.2016;248
Folgefonna Skisenter;SN49085;22.01.2016;248
Folgefonna Skisenter;SN49085;23.01.2016;249
Folgefonna Skisenter;SN49085;24.01.2016;253
Folgefonna Skisenter;SN49085;25.01.2016;248
Folgefonna Skisenter;SN49085;26.01.2016;240
Folgefonna Skisenter;SN49085;27.01.2016;241
Folgefonna Skisenter;SN49085;28.01.2016;256
Folgefonna Skisenter;SN49085;29.01.2016;296
Folgefonna Skisenter;SN49085;30.01.2016;314
Folgefonna Skisenter;SN49085;31.01.2016;321
Folgefonna Skisenter;SN49085;01.02.2016;350
Folgefonna Skisenter;SN49085;02.02.2016;355
Folgefonna Skisenter;SN49085;03.02.2016;362
Folgefonna Skisenter;SN49085;04.02.2016;356
Folgefonna Skisenter;SN49085;05.02.2016;353
Folgefonna Skisenter;SN49085;06.02.2016;349
Folgefonna Skisenter;SN49085;07.02.2016;345
Folgefonna Skisenter;SN49085;08.02.2016;317
Folgefonna Skisenter;SN49085;09.02.2016;317
Folgefonna Skisenter;SN49085;10.02.2016;327
